fid,AREA_HA,PERIMETRO_M,TAMANHO,INDICE_FORMA,CLASSE_FORMA,AREA_NUCLEAR_HA,ISOLAMENTO_M,CLASSE_CONECTIVIDADE,MUNICIPIOS
1,3.52,1267.1,Muito pequeno (< 5 ha),1.91,"Alongado (1,5 ≤ DI < 2,0)",0.01,146.21,Média conectividade (100-500 m),Marataízes
2,3.14,1386.84,Muito pequeno (< 5 ha),2.21,"Muito alongado (DI ≥ 2,0)",0,146.21,Média conectividade (100-500 m),Marataízes
3,1.4,1050.7,Muito pequeno (< 5 ha),2.5,"Muito alongado (DI ≥ 2,0)",0,128.29,Média conectividade (100-500 m),Marataízes
4,1.3,917.97,Muito pequeno (< 5 ha),2.27,"Muito alongado (DI ≥ 2,0)",0,128.29,Média conectividade (100-500 m),Marataízes
5,1.42,610.32,Muito pequeno (< 5 ha),1.45,"Compacto (DI < 1,5)",0,867.38,Baixa conectividade (≥ 500 m),Marataízes
6,1.24,564.12,Muito pequeno (< 5 ha),1.43,"Compacto (DI < 1,5)",0,19.59,Alta conectividade (< 100 m),Marataízes
7,11.33,4010.7,Médio (10-100 ha),3.36,"Muito alongado (DI ≥ 2,0)",1.17,21.78,Alta conectividade (< 100 m),Marataízes
8,2.61,1235.49,Muito pequeno (< 5 ha),2.16,"Muito alongado (DI ≥ 2,0)",0,19.59,Alta conectividade (< 100 m),Marataízes
9,4.34,1776.31,Muito pequeno (< 5 ha),2.41,"Muito alongado (DI ≥ 2,0)",0,261.66,Média conectividade (100-500 m),Marataízes
10,3.61,1570.61,Muito pequeno (< 5 ha),2.33,"Muito alongado (DI ≥ 2,0)",0,223.6,Média conectividade (100-500 m),Marataízes
11,5.86,1687.62,Pequeno (5-10 ha),1.97,"Alongado (1,5 ≤ DI < 2,0)",0.14,261.66,Média conectividade (100-500 m),Marataízes
12,0.91,883.09,Muito pequeno (< 5 ha),2.62,"Muito alongado (DI ≥ 2,0)",0,273.65,Média conectividade (100-500 m),Marataízes
13,4.35,1542.31,Muito pequeno (< 5 ha),2.09,"Muito alongado (DI ≥ 2,0)",0.02,106.62,Média conectividade (100-500 m),Marataízes
14,1.84,845.51,Muito pequeno (< 5 ha),1.76,"Alongado (1,5 ≤ DI < 2,0)",0,208.25,Média conectividade (100-500 m),Marataízes
15,3.19,1169.63,Muito pequeno (< 5 ha),1.85,"Alongado (1,5 ≤ DI < 2,0)",0,106.62,Média conectividade (100-500 m),Marataízes
16,2.53,2237.02,Muito pequeno (< 5 ha),3.96,"Muito alongado (DI ≥ 2,0)",0,119.22,Média conectividade (100-500 m),Marataízes
17,3.56,1912.85,Muito pequeno (< 5 ha),2.86,"Muito alongado (DI ≥ 2,0)",0,402.48,Média conectividade (100-500 m),Marataízes
18,1.24,441.39,Muito pequeno (< 5 ha),1.12,"Compacto (DI < 1,5)",0,359.4,Média conectividade (100-500 m),Marataízes
19,0.54,284.07,Muito pequeno (< 5 ha),1.09,"Compacto (DI < 1,5)",0,172.79,Média conectividade (100-500 m),Marataízes
20,1.67,754.99,Muito pequeno (< 5 ha),1.65,"Alongado (1,5 ≤ DI < 2,0)",0,119.22,Média conectividade (100-500 m),Marataízes
21,1.21,478.67,Muito pequeno (< 5 ha),1.23,"Compacto (DI < 1,5)",0,359.4,Média conectividade (100-500 m),Marataízes
22,0.52,302.75,Muito pequeno (< 5 ha),1.18,"Compacto (DI < 1,5)",0,289.24,Média conectividade (100-500 m),Marataízes
23,1,462.92,Muito pequeno (< 5 ha),1.31,"Compacto (DI < 1,5)",0,172.79,Média conectividade (100-500 m),Marataízes
24,1.51,900.15,Muito pequeno (< 5 ha),2.07,"Muito alongado (DI ≥ 2,0)",0,380.72,Média conectividade (100-500 m),Marataízes
25,1.04,732.96,Muito pequeno (< 5 ha),2.03,"Muito alongado (DI ≥ 2,0)",0,380.72,Média conectividade (100-500 m),Marataízes
26,0.96,479.53,Muito pequeno (< 5 ha),1.38,"Compacto (DI < 1,5)",0,296.48,Média conectividade (100-500 m),Marataízes
27,1.05,675.21,Muito pequeno (< 5 ha),1.86,"Alongado (1,5 ≤ DI < 2,0)",0,735.58,Baixa conectividade (≥ 500 m),Marataízes
28,0.98,681.07,Muito pequeno (< 5 ha),1.94,"Alongado (1,5 ≤ DI < 2,0)",0,13.11,Alta conectividade (< 100 m),Marataízes
30,0.62,374.11,Muito pequeno (< 5 ha),1.34,"Compacto (DI < 1,5)",0,13.11,Alta conectividade (< 100 m),Marataízes
31,1.84,1479.17,Muito pequeno (< 5 ha),3.08,"Muito alongado (DI ≥ 2,0)",0,141.62,Média conectividade (100-500 m),Marataízes
35,3.13,1606.54,Muito pequeno (< 5 ha),2.56,"Muito alongado (DI ≥ 2,0)",0,100.19,Média conectividade (100-500 m),Marataízes
38,15.78,2184.81,Médio (10-100 ha),1.55,"Alongado (1,5 ≤ DI < 2,0)",6.07,249.34,Média conectividade (100-500 m),Marataízes
39,0.81,407.66,Muito pequeno (< 5 ha),1.28,"Compacto (DI < 1,5)",0,182.35,Média conectividade (100-500 m),Marataízes
40,1.35,602.33,Muito pequeno (< 5 ha),1.46,"Compacto (DI < 1,5)",0,87.81,Alta conectividade (< 100 m),Marataízes
41,0.77,455.78,Muito pequeno (< 5 ha),1.47,"Compacto (DI < 1,5)",0,625.29,Baixa conectividade (≥ 500 m),Marataízes
42,0.62,541.7,Muito pequeno (< 5 ha),1.95,"Alongado (1,5 ≤ DI < 2,0)",0,87.81,Alta conectividade (< 100 m),Marataízes
43,2.95,940.65,Muito pequeno (< 5 ha),1.54,"Alongado (1,5 ≤ DI < 2,0)",0,413.98,Média conectividade (100-500 m),Marataízes
44,1.87,721.9,Muito pequeno (< 5 ha),1.49,"Compacto (DI < 1,5)",0.02,524.8,Baixa conectividade (≥ 500 m),Marataízes
45,0.61,339.23,Muito pequeno (< 5 ha),1.22,"Compacto (DI < 1,5)",0,413.98,Média conectividade (100-500 m),Marataízes
46,3.69,1125.86,Muito pequeno (< 5 ha),1.65,"Alongado (1,5 ≤ DI < 2,0)",0,118.9,Média conectividade (100-500 m),Marataízes
48,1.03,508.5,Muito pequeno (< 5 ha),1.41,"Compacto (DI < 1,5)",0,296.81,Média conectividade (100-500 m),Marataízes
50,0.72,428.24,Muito pequeno (< 5 ha),1.43,"Compacto (DI < 1,5)",0,524.8,Baixa conectividade (≥ 500 m),Marataízes
51,2.83,1263.64,Muito pequeno (< 5 ha),2.12,"Muito alongado (DI ≥ 2,0)",0,296.81,Média conectividade (100-500 m),Marataízes
53,2.08,1430.87,Muito pequeno (< 5 ha),2.8,"Muito alongado (DI ≥ 2,0)",0,249.34,Média conectividade (100-500 m),Marataízes
54,1.98,753.74,Muito pequeno (< 5 ha),1.51,"Alongado (1,5 ≤ DI < 2,0)",0,26.64,Alta conectividade (< 100 m),Marataízes
55,3.87,1997.64,Muito pequeno (< 5 ha),2.87,"Muito alongado (DI ≥ 2,0)",0,860.77,Baixa conectividade (≥ 500 m),Marataízes
56,0.89,401.56,Muito pequeno (< 5 ha),1.2,"Compacto (DI < 1,5)",0,335.1,Média conectividade (100-500 m),Marataízes
58,2.73,883.15,Muito pequeno (< 5 ha),1.51,"Alongado (1,5 ≤ DI < 2,0)",0,118.9,Média conectividade (100-500 m),Marataízes
59,1.11,543.53,Muito pequeno (< 5 ha),1.45,"Compacto (DI < 1,5)",0,26.64,Alta conectividade (< 100 m),Marataízes
60,0.85,808.95,Muito pequeno (< 5 ha),2.48,"Muito alongado (DI ≥ 2,0)",0,399.44,Média conectividade (100-500 m),Marataízes
61,0.82,466.73,Muito pequeno (< 5 ha),1.46,"Compacto (DI < 1,5)",0,160.94,Média conectividade (100-500 m),Marataízes
62,1.62,752.26,Muito pequeno (< 5 ha),1.67,"Alongado (1,5 ≤ DI < 2,0)",0,573.55,Baixa conectividade (≥ 500 m),Marataízes
63,2.09,754.59,Muito pequeno (< 5 ha),1.47,"Compacto (DI < 1,5)",0,399.44,Média conectividade (100-500 m),Marataízes
64,1.56,563.66,Muito pequeno (< 5 ha),1.27,"Compacto (DI < 1,5)",0,101.88,Média conectividade (100-500 m),Marataízes
66,6.15,1374.53,Pequeno (5-10 ha),1.56,"Alongado (1,5 ≤ DI < 2,0)",1.34,50.34,Alta conectividade (< 100 m),"Marataízes,Presidente Kennedy"
67,0.69,334.69,Muito pequeno (< 5 ha),1.13,"Compacto (DI < 1,5)",0,523.13,Baixa conectividade (≥ 500 m),Marataízes
69,2.06,852.64,Muito pequeno (< 5 ha),1.68,"Alongado (1,5 ≤ DI < 2,0)",0,101.88,Média conectividade (100-500 m),Marataízes
70,0.63,490.09,Muito pequeno (< 5 ha),1.74,"Alongado (1,5 ≤ DI < 2,0)",0,359.35,Média conectividade (100-500 m),Marataízes
71,3.8,1689.75,Muito pequeno (< 5 ha),2.45,"Muito alongado (DI ≥ 2,0)",0,50.34,Alta conectividade (< 100 m),Marataízes
72,2.14,751.34,Muito pequeno (< 5 ha),1.45,"Compacto (DI < 1,5)",0,411.76,Média conectividade (100-500 m),Marataízes
73,2.22,1058.86,Muito pequeno (< 5 ha),2,"Muito alongado (DI ≥ 2,0)",0,365.01,Média conectividade (100-500 m),Marataízes
74,0.67,418.97,Muito pequeno (< 5 ha),1.44,"Compacto (DI < 1,5)",0,202.73,Média conectividade (100-500 m),Marataízes
76,1.52,493.88,Muito pequeno (< 5 ha),1.13,"Compacto (DI < 1,5)",0.02,265.15,Média conectividade (100-500 m),Marataízes
77,1.05,589.57,Muito pequeno (< 5 ha),1.62,"Alongado (1,5 ≤ DI < 2,0)",0,20.9,Alta conectividade (< 100 m),Marataízes
78,4.6,1346.3,Muito pequeno (< 5 ha),1.77,"Alongado (1,5 ≤ DI < 2,0)",0.05,146.85,Média conectividade (100-500 m),Marataízes
79,1.27,712.63,Muito pequeno (< 5 ha),1.79,"Alongado (1,5 ≤ DI < 2,0)",0,66.41,Alta conectividade (< 100 m),Marataízes
80,1.26,605.08,Muito pequeno (< 5 ha),1.52,"Alongado (1,5 ≤ DI < 2,0)",0,481.83,Média conectividade (100-500 m),Marataízes
84,1.97,1248.26,Muito pequeno (< 5 ha),2.51,"Muito alongado (DI ≥ 2,0)",0,236.27,Média conectividade (100-500 m),Marataízes
86,1.88,713.23,Muito pequeno (< 5 ha),1.47,"Compacto (DI < 1,5)",0,20.9,Alta conectividade (< 100 m),Marataízes
87,2.64,970.63,Muito pequeno (< 5 ha),1.68,"Alongado (1,5 ≤ DI < 2,0)",0,202.73,Média conectividade (100-500 m),Itapemirim
88,2.11,592.95,Muito pequeno (< 5 ha),1.15,"Compacto (DI < 1,5)",0.18,477.42,Média conectividade (100-500 m),Presidente Kennedy
89,1,506.23,Muito pequeno (< 5 ha),1.43,"Compacto (DI < 1,5)",0,203.49,Média conectividade (100-500 m),Itapemirim
90,2.88,1082.54,Muito pequeno (< 5 ha),1.8,"Alongado (1,5 ≤ DI < 2,0)",0.06,41.48,Alta conectividade (< 100 m),"Marataízes,Itapemirim"
91,0.76,435.39,Muito pequeno (< 5 ha),1.41,"Compacto (DI < 1,5)",0,233.39,Média conectividade (100-500 m),Itapemirim
92,1.09,542.03,Muito pequeno (< 5 ha),1.46,"Compacto (DI < 1,5)",0,264.56,Média conectividade (100-500 m),Presidente Kennedy
94,3.84,1301.54,Muito pequeno (< 5 ha),1.87,"Alongado (1,5 ≤ DI < 2,0)",0,75.56,Alta conectividade (< 100 m),Marataízes
95,51.04,3506.67,Médio (10-100 ha),1.38,"Compacto (DI < 1,5)",34.71,459.58,Média conectividade (100-500 m),Presidente Kennedy
96,0.85,616.47,Muito pequeno (< 5 ha),1.89,"Alongado (1,5 ≤ DI < 2,0)",0,300.91,Média conectividade (100-500 m),Presidente Kennedy
97,2.73,689.83,Muito pequeno (< 5 ha),1.18,"Compacto (DI < 1,5)",0.25,388.82,Média conectividade (100-500 m),Presidente Kennedy
98,0.96,728.07,Muito pequeno (< 5 ha),2.1,"Muito alongado (DI ≥ 2,0)",0,959.57,Baixa conectividade (≥ 500 m),Marataízes
99,3.03,1930.01,Muito pequeno (< 5 ha),3.13,"Muito alongado (DI ≥ 2,0)",0,223.5,Média conectividade (100-500 m),Itapemirim
100,2.73,935.91,Muito pequeno (< 5 ha),1.6,"Alongado (1,5 ≤ DI < 2,0)",0,504.72,Baixa conectividade (≥ 500 m),Itapemirim
101,2.05,834.25,Muito pequeno (< 5 ha),1.64,"Alongado (1,5 ≤ DI < 2,0)",0,41.48,Alta conectividade (< 100 m),Itapemirim
102,2.97,1665.75,Muito pequeno (< 5 ha),2.73,"Muito alongado (DI ≥ 2,0)",0,75.56,Alta conectividade (< 100 m),Marataízes
103,1.22,524.65,Muito pequeno (< 5 ha),1.34,"Compacto (DI < 1,5)",0,195.79,Média conectividade (100-500 m),Itapemirim
104,1.89,569.34,Muito pequeno (< 5 ha),1.17,"Compacto (DI < 1,5)",0.04,264.56,Média conectividade (100-500 m),Presidente Kennedy
105,0.51,337.61,Muito pequeno (< 5 ha),1.33,"Compacto (DI < 1,5)",0,1062.73,Baixa conectividade (≥ 500 m),Marataízes
106,1.43,530.26,Muito pequeno (< 5 ha),1.25,"Compacto (DI < 1,5)",0,89.87,Alta conectividade (< 100 m),Itapemirim
107,1.76,884.25,Muito pequeno (< 5 ha),1.88,"Alongado (1,5 ≤ DI < 2,0)",0,423.38,Média conectividade (100-500 m),Presidente Kennedy
108,4.31,1437.45,Muito pequeno (< 5 ha),1.95,"Alongado (1,5 ≤ DI < 2,0)",0.02,392.49,Média conectividade (100-500 m),Itapemirim
109,0.82,524.76,Muito pequeno (< 5 ha),1.63,"Alongado (1,5 ≤ DI < 2,0)",0,149.69,Média conectividade (100-500 m),Itapemirim
110,60.38,10599.43,Médio (10-100 ha),3.85,"Muito alongado (DI ≥ 2,0)",23.49,54.45,Alta conectividade (< 100 m),Itapemirim
113,1.1,707.04,Muito pequeno (< 5 ha),1.9,"Alongado (1,5 ≤ DI < 2,0)",0,412.89,Média conectividade (100-500 m),Presidente Kennedy
114,1.31,512.35,Muito pequeno (< 5 ha),1.26,"Compacto (DI < 1,5)",0,149.69,Média conectividade (100-500 m),Itapemirim
115,0.97,736.13,Muito pequeno (< 5 ha),2.11,"Muito alongado (DI ≥ 2,0)",0,54.45,Alta conectividade (< 100 m),Itapemirim
116,362.88,29699.71,Muito grande (≥ 250 ha),4.4,"Muito alongado (DI ≥ 2,0)",235.97,38.55,Alta conectividade (< 100 m),Presidente Kennedy
117,0.54,570.32,Muito pequeno (< 5 ha),2.19,"Muito alongado (DI ≥ 2,0)",0,70.69,Alta conectividade (< 100 m),Presidente Kennedy
118,0.89,383.04,Muito pequeno (< 5 ha),1.15,"Compacto (DI < 1,5)",0,70.69,Alta conectividade (< 100 m),Presidente Kennedy
119,1.21,413.09,Muito pequeno (< 5 ha),1.06,"Compacto (DI < 1,5)",0.01,530,Baixa conectividade (≥ 500 m),Itapemirim
120,11.28,3712.88,Médio (10-100 ha),3.12,"Muito alongado (DI ≥ 2,0)",0.12,226.25,Média conectividade (100-500 m),Presidente Kennedy
121,19.63,3409.07,Médio (10-100 ha),2.17,"Muito alongado (DI ≥ 2,0)",6.2,36.91,Alta conectividade (< 100 m),Presidente Kennedy
124,0.74,463.21,Muito pequeno (< 5 ha),1.52,"Alongado (1,5 ≤ DI < 2,0)",0,331.5,Média conectividade (100-500 m),Itapemirim
125,0.7,421.33,Muito pequeno (< 5 ha),1.42,"Compacto (DI < 1,5)",0,139.28,Média conectividade (100-500 m),Presidente Kennedy
126,1.13,798.26,Muito pequeno (< 5 ha),2.12,"Muito alongado (DI ≥ 2,0)",0,157.01,Média conectividade (100-500 m),Presidente Kennedy
127,0.89,676.21,Muito pequeno (< 5 ha),2.03,"Muito alongado (DI ≥ 2,0)",0,157.01,Média conectividade (100-500 m),Presidente Kennedy
128,1.73,714.89,Muito pequeno (< 5 ha),1.53,"Alongado (1,5 ≤ DI < 2,0)",0,397.27,Média conectividade (100-500 m),Presidente Kennedy
129,2.18,587.15,Muito pequeno (< 5 ha),1.12,"Compacto (DI < 1,5)",0.2,134.67,Média conectividade (100-500 m),Itapemirim
131,0.5,422.1,Muito pequeno (< 5 ha),1.68,"Alongado (1,5 ≤ DI < 2,0)",0,61.67,Alta conectividade (< 100 m),Presidente Kennedy
132,1.59,835.86,Muito pequeno (< 5 ha),1.87,"Alongado (1,5 ≤ DI < 2,0)",0,36.91,Alta conectividade (< 100 m),Presidente Kennedy
133,21.18,2426.66,Médio (10-100 ha),1.49,"Compacto (DI < 1,5)",10.14,723.3,Baixa conectividade (≥ 500 m),Presidente Kennedy
134,1.91,674.55,Muito pequeno (< 5 ha),1.38,"Compacto (DI < 1,5)",0.04,111.26,Média conectividade (100-500 m),"Itapemirim,Presidente Kennedy"
135,3.36,1117.16,Muito pequeno (< 5 ha),1.72,"Alongado (1,5 ≤ DI < 2,0)",0.33,38.55,Alta conectividade (< 100 m),Presidente Kennedy
136,2.63,709.52,Muito pequeno (< 5 ha),1.23,"Compacto (DI < 1,5)",0.12,1495.11,Baixa conectividade (≥ 500 m),Presidente Kennedy
137,0.75,551.94,Muito pequeno (< 5 ha),1.8,"Alongado (1,5 ≤ DI < 2,0)",0,723.3,Baixa conectividade (≥ 500 m),Presidente Kennedy
138,14.45,1789.46,Médio (10-100 ha),1.33,"Compacto (DI < 1,5)",6.79,107.59,Média conectividade (100-500 m),Presidente Kennedy
139,1.29,461.88,Muito pequeno (< 5 ha),1.15,"Compacto (DI < 1,5)",0,111.26,Média conectividade (100-500 m),"Itapemirim,Presidente Kennedy"
140,7.9,3009.24,Pequeno (5-10 ha),3.02,"Muito alongado (DI ≥ 2,0)",0.78,345.75,Média conectividade (100-500 m),Presidente Kennedy
141,2.17,990.76,Muito pequeno (< 5 ha),1.9,"Alongado (1,5 ≤ DI < 2,0)",0,226.25,Média conectividade (100-500 m),Presidente Kennedy
142,3.56,1626.03,Muito pequeno (< 5 ha),2.43,"Muito alongado (DI ≥ 2,0)",0.01,9.06,Alta conectividade (< 100 m),Presidente Kennedy
144,6.65,1213.8,Pequeno (5-10 ha),1.33,"Compacto (DI < 1,5)",1.89,373.9,Média conectividade (100-500 m),Itapemirim
145,2.51,681.03,Muito pequeno (< 5 ha),1.21,"Compacto (DI < 1,5)",0.16,67.21,Alta conectividade (< 100 m),Presidente Kennedy
146,0.6,501.79,Muito pequeno (< 5 ha),1.82,"Alongado (1,5 ≤ DI < 2,0)",0,1106.56,Baixa conectividade (≥ 500 m),Presidente Kennedy
148,9.74,3075.47,Pequeno (5-10 ha),2.78,"Muito alongado (DI ≥ 2,0)",0.69,52.66,Alta conectividade (< 100 m),Presidente Kennedy
149,2.37,823.9,Muito pequeno (< 5 ha),1.51,"Alongado (1,5 ≤ DI < 2,0)",0.03,52.66,Alta conectividade (< 100 m),Presidente Kennedy
150,1.14,441.6,Muito pequeno (< 5 ha),1.16,"Compacto (DI < 1,5)",0,367.37,Média conectividade (100-500 m),Presidente Kennedy
151,8.88,1364.22,Pequeno (5-10 ha),1.29,"Compacto (DI < 1,5)",3,171.24,Média conectividade (100-500 m),Presidente Kennedy
152,1.74,892.67,Muito pequeno (< 5 ha),1.91,"Alongado (1,5 ≤ DI < 2,0)",0,171.24,Média conectividade (100-500 m),Presidente Kennedy
153,0.98,375.2,Muito pequeno (< 5 ha),1.07,"Compacto (DI < 1,5)",0,639.06,Baixa conectividade (≥ 500 m),Presidente Kennedy
154,0.63,461.08,Muito pequeno (< 5 ha),1.64,"Alongado (1,5 ≤ DI < 2,0)",0,49.66,Alta conectividade (< 100 m),Presidente Kennedy
155,3.05,771.16,Muito pequeno (< 5 ha),1.25,"Compacto (DI < 1,5)",0.45,46.63,Alta conectividade (< 100 m),Presidente Kennedy
156,0.83,658.57,Muito pequeno (< 5 ha),2.04,"Muito alongado (DI ≥ 2,0)",0,373.9,Média conectividade (100-500 m),Itapemirim
157,3.47,1624.85,Muito pequeno (< 5 ha),2.46,"Muito alongado (DI ≥ 2,0)",0,9.06,Alta conectividade (< 100 m),Presidente Kennedy
158,2.17,584.3,Muito pequeno (< 5 ha),1.12,"Compacto (DI < 1,5)",0.15,225.95,Média conectividade (100-500 m),Presidente Kennedy
159,1.89,896.3,Muito pequeno (< 5 ha),1.84,"Alongado (1,5 ≤ DI < 2,0)",0,225.95,Média conectividade (100-500 m),Presidente Kennedy
160,14.75,2136.01,Médio (10-100 ha),1.57,"Alongado (1,5 ≤ DI < 2,0)",6.17,46.63,Alta conectividade (< 100 m),Presidente Kennedy
161,14.01,4792.37,Médio (10-100 ha),3.61,"Muito alongado (DI ≥ 2,0)",0.51,62.58,Alta conectividade (< 100 m),Presidente Kennedy
162,3.31,1319.43,Muito pequeno (< 5 ha),2.05,"Muito alongado (DI ≥ 2,0)",0,14.5,Alta conectividade (< 100 m),Presidente Kennedy
163,9.42,2826.31,Pequeno (5-10 ha),2.6,"Muito alongado (DI ≥ 2,0)",1.05,301.83,Média conectividade (100-500 m),Presidente Kennedy
164,5.59,1015.3,Pequeno (5-10 ha),1.21,"Compacto (DI < 1,5)",1.49,414.68,Média conectividade (100-500 m),Presidente Kennedy
165,2.14,817.53,Muito pequeno (< 5 ha),1.57,"Alongado (1,5 ≤ DI < 2,0)",0.03,363.22,Média conectividade (100-500 m),"Itapemirim,Presidente Kennedy"
166,13.38,1413.91,Médio (10-100 ha),1.09,"Compacto (DI < 1,5)",7.25,411.12,Média conectividade (100-500 m),Itapemirim
167,1.33,431.7,Muito pequeno (< 5 ha),1.06,"Compacto (DI < 1,5)",0.03,414.68,Média conectividade (100-500 m),Presidente Kennedy
168,0.55,361.82,Muito pequeno (< 5 ha),1.38,"Compacto (DI < 1,5)",0,46.22,Alta conectividade (< 100 m),Presidente Kennedy
169,1.7,687.7,Muito pequeno (< 5 ha),1.49,"Compacto (DI < 1,5)",0,14.5,Alta conectividade (< 100 m),Presidente Kennedy
170,2.51,686.67,Muito pequeno (< 5 ha),1.22,"Compacto (DI < 1,5)",0.23,8.41,Alta conectividade (< 100 m),Presidente Kennedy
172,0.62,303.82,Muito pequeno (< 5 ha),1.09,"Compacto (DI < 1,5)",0,704.11,Baixa conectividade (≥ 500 m),Presidente Kennedy
173,1.35,885.95,Muito pequeno (< 5 ha),2.15,"Muito alongado (DI ≥ 2,0)",0,23.47,Alta conectividade (< 100 m),Presidente Kennedy
174,2.91,900.64,Muito pequeno (< 5 ha),1.49,"Compacto (DI < 1,5)",0,8.41,Alta conectividade (< 100 m),Presidente Kennedy
175,4.04,796.39,Muito pequeno (< 5 ha),1.12,"Compacto (DI < 1,5)",0.99,23.47,Alta conectividade (< 100 m),Presidente Kennedy
177,1.54,832.9,Muito pequeno (< 5 ha),1.89,"Alongado (1,5 ≤ DI < 2,0)",0,132.5,Média conectividade (100-500 m),Presidente Kennedy
178,4.69,960.07,Muito pequeno (< 5 ha),1.25,"Compacto (DI < 1,5)",0.9,789.75,Baixa conectividade (≥ 500 m),Presidente Kennedy
179,2.12,1073.32,Muito pequeno (< 5 ha),2.08,"Muito alongado (DI ≥ 2,0)",0,57.09,Alta conectividade (< 100 m),Presidente Kennedy
180,10.83,2454.36,Médio (10-100 ha),2.1,"Muito alongado (DI ≥ 2,0)",2.58,42.91,Alta conectividade (< 100 m),Presidente Kennedy
181,1.92,674,Muito pequeno (< 5 ha),1.37,"Compacto (DI < 1,5)",0,102.58,Média conectividade (100-500 m),Presidente Kennedy
182,1.09,436.41,Muito pequeno (< 5 ha),1.18,"Compacto (DI < 1,5)",0,16.52,Alta conectividade (< 100 m),Presidente Kennedy
184,9.19,1326.19,Pequeno (5-10 ha),1.23,"Compacto (DI < 1,5)",3.86,16.52,Alta conectividade (< 100 m),Presidente Kennedy
185,0.69,429.26,Muito pequeno (< 5 ha),1.46,"Compacto (DI < 1,5)",0,715.85,Baixa conectividade (≥ 500 m),Presidente Kennedy
186,2.56,639.73,Muito pequeno (< 5 ha),1.13,"Compacto (DI < 1,5)",0.23,760.26,Baixa conectividade (≥ 500 m),Presidente Kennedy
187,8.76,1717.26,Pequeno (5-10 ha),1.64,"Alongado (1,5 ≤ DI < 2,0)",1.33,20.86,Alta conectividade (< 100 m),Presidente Kennedy
188,8.67,1432.87,Pequeno (5-10 ha),1.37,"Compacto (DI < 1,5)",2.7,203.02,Média conectividade (100-500 m),Presidente Kennedy
189,0.52,302.53,Muito pequeno (< 5 ha),1.18,"Compacto (DI < 1,5)",0,710.17,Baixa conectividade (≥ 500 m),Presidente Kennedy
190,4.31,1178.47,Muito pequeno (< 5 ha),1.6,"Alongado (1,5 ≤ DI < 2,0)",0.02,60.48,Alta conectividade (< 100 m),Presidente Kennedy
191,15.33,1699.98,Médio (10-100 ha),1.22,"Compacto (DI < 1,5)",8.01,203.02,Média conectividade (100-500 m),Presidente Kennedy
192,0.99,551.68,Muito pequeno (< 5 ha),1.56,"Alongado (1,5 ≤ DI < 2,0)",0,20.86,Alta conectividade (< 100 m),Presidente Kennedy
193,40.5,2846.53,Médio (10-100 ha),1.26,"Compacto (DI < 1,5)",27.45,449.34,Média conectividade (100-500 m),Presidente Kennedy
194,0.65,392.49,Muito pequeno (< 5 ha),1.37,"Compacto (DI < 1,5)",0,415.98,Média conectividade (100-500 m),Presidente Kennedy
195,0.56,341.7,Muito pequeno (< 5 ha),1.29,"Compacto (DI < 1,5)",0,845.15,Baixa conectividade (≥ 500 m),Presidente Kennedy
196,1.94,1447.38,Muito pequeno (< 5 ha),2.93,"Muito alongado (DI ≥ 2,0)",0,573.27,Baixa conectividade (≥ 500 m),Presidente Kennedy
197,17.51,2165.88,Médio (10-100 ha),1.46,"Compacto (DI < 1,5)",7.82,343.24,Média conectividade (100-500 m),Presidente Kennedy
198,42.2,5876.02,Médio (10-100 ha),2.55,"Muito alongado (DI ≥ 2,0)",18.02,60.48,Alta conectividade (< 100 m),Presidente Kennedy
199,1.49,578.81,Muito pequeno (< 5 ha),1.34,"Compacto (DI < 1,5)",0,449.34,Média conectividade (100-500 m),Presidente Kennedy
200,1.05,612.84,Muito pequeno (< 5 ha),1.69,"Alongado (1,5 ≤ DI < 2,0)",0,362.86,Média conectividade (100-500 m),Presidente Kennedy
201,1.54,565.17,Muito pequeno (< 5 ha),1.28,"Compacto (DI < 1,5)",0,386.07,Média conectividade (100-500 m),Presidente Kennedy
202,0.65,388.7,Muito pequeno (< 5 ha),1.36,"Compacto (DI < 1,5)",0,125.4,Média conectividade (100-500 m),Presidente Kennedy
203,0.78,502.45,Muito pequeno (< 5 ha),1.61,"Alongado (1,5 ≤ DI < 2,0)",0,80.89,Alta conectividade (< 100 m),Presidente Kennedy
206,0.5,355.87,Muito pequeno (< 5 ha),1.41,"Compacto (DI < 1,5)",0,80.89,Alta conectividade (< 100 m),Presidente Kennedy
207,1.65,1085.8,Muito pequeno (< 5 ha),2.38,"Muito alongado (DI ≥ 2,0)",0,125.4,Média conectividade (100-500 m),Presidente Kennedy
208,6.9,1285.72,Pequeno (5-10 ha),1.38,"Compacto (DI < 1,5)",1.57,168.69,Média conectividade (100-500 m),Presidente Kennedy
209,2.61,702.98,Muito pequeno (< 5 ha),1.23,"Compacto (DI < 1,5)",0.06,480.94,Média conectividade (100-500 m),Itapemirim
210,1.45,497.85,Muito pequeno (< 5 ha),1.17,"Compacto (DI < 1,5)",0,707.84,Baixa conectividade (≥ 500 m),Presidente Kennedy
211,4.33,1337.49,Muito pequeno (< 5 ha),1.81,"Alongado (1,5 ≤ DI < 2,0)",0,142.23,Média conectividade (100-500 m),Presidente Kennedy
213,4.91,1366.89,Muito pequeno (< 5 ha),1.74,"Alongado (1,5 ≤ DI < 2,0)",0.4,845.15,Baixa conectividade (≥ 500 m),Presidente Kennedy
