fid,AREA_HA,PERIMETRO_M,TAMANHO,INDICE_FORMA,CLASSE_FORMA,AREA_NUCLEAR_HA,ISOLAMENTO_M,CLASSE_CONECTIVIDADE,MUNICIPIOS
500,2.57,703.12,Muito pequeno (< 5 ha),1.24,"Compacto (DI < 1,5)",0.13,43.2,Alta conectividade (< 100 m),Presidente Kennedy
501,3.06,790.82,Muito pequeno (< 5 ha),1.28,"Compacto (DI < 1,5)",0.23,164.03,Média conectividade (100-500 m),Presidente Kennedy
502,83.04,7544.01,Médio (10-100 ha),2.34,"Muito alongado (DI ≥ 2,0)",51.57,94.22,Alta conectividade (< 100 m),Presidente Kennedy
504,2.84,1108.17,Muito pequeno (< 5 ha),1.85,"Alongado (1,5 ≤ DI < 2,0)",0.08,53.09,Alta conectividade (< 100 m),Presidente Kennedy
506,4.95,904.67,Muito pequeno (< 5 ha),1.15,"Compacto (DI < 1,5)",1.46,43.2,Alta conectividade (< 100 m),Presidente Kennedy
507,4.53,1235.01,Muito pequeno (< 5 ha),1.64,"Alongado (1,5 ≤ DI < 2,0)",0.84,31.38,Alta conectividade (< 100 m),Presidente Kennedy
508,15.06,3109.17,Médio (10-100 ha),2.26,"Muito alongado (DI ≥ 2,0)",2.66,26.46,Alta conectividade (< 100 m),Presidente Kennedy
509,19.32,2118.45,Médio (10-100 ha),1.36,"Compacto (DI < 1,5)",9.87,146.74,Média conectividade (100-500 m),Presidente Kennedy
510,2.61,770.76,Muito pequeno (< 5 ha),1.34,"Compacto (DI < 1,5)",0.01,492.61,Média conectividade (100-500 m),Presidente Kennedy
511,0.81,377.77,Muito pequeno (< 5 ha),1.18,"Compacto (DI < 1,5)",0,75.62,Alta conectividade (< 100 m),Presidente Kennedy
512,0.71,462.8,Muito pequeno (< 5 ha),1.55,"Alongado (1,5 ≤ DI < 2,0)",0,426.27,Média conectividade (100-500 m),Presidente Kennedy
513,291.69,15939.7,Muito grande (≥ 250 ha),2.63,"Muito alongado (DI ≥ 2,0)",213.73,4.54,Alta conectividade (< 100 m),Presidente Kennedy
514,1.53,699.09,Muito pequeno (< 5 ha),1.6,"Alongado (1,5 ≤ DI < 2,0)",0,372.24,Média conectividade (100-500 m),Presidente Kennedy
515,13.45,1870.17,Médio (10-100 ha),1.44,"Compacto (DI < 1,5)",5.15,146.89,Média conectividade (100-500 m),Presidente Kennedy
516,10.77,2108.67,Médio (10-100 ha),1.81,"Alongado (1,5 ≤ DI < 2,0)",2.21,87.79,Alta conectividade (< 100 m),Presidente Kennedy
517,1.7,698.18,Muito pequeno (< 5 ha),1.51,"Alongado (1,5 ≤ DI < 2,0)",0,155.45,Média conectividade (100-500 m),Presidente Kennedy
518,1.25,478.4,Muito pequeno (< 5 ha),1.21,"Compacto (DI < 1,5)",0,39.16,Alta conectividade (< 100 m),Presidente Kennedy
519,3.97,1082.92,Muito pequeno (< 5 ha),1.53,"Alongado (1,5 ≤ DI < 2,0)",0.48,111.51,Média conectividade (100-500 m),Presidente Kennedy
520,0.85,393.13,Muito pequeno (< 5 ha),1.2,"Compacto (DI < 1,5)",0,194.99,Média conectividade (100-500 m),Presidente Kennedy
521,8.68,1374.32,Pequeno (5-10 ha),1.32,"Compacto (DI < 1,5)",2.94,146.74,Média conectividade (100-500 m),Presidente Kennedy
522,0.52,423.24,Muito pequeno (< 5 ha),1.66,"Alongado (1,5 ≤ DI < 2,0)",0,26.46,Alta conectividade (< 100 m),Presidente Kennedy
524,2.53,721.23,Muito pequeno (< 5 ha),1.28,"Compacto (DI < 1,5)",0.08,194.87,Média conectividade (100-500 m),Presidente Kennedy
525,7.2,1184.51,Pequeno (5-10 ha),1.25,"Compacto (DI < 1,5)",2.16,107.7,Média conectividade (100-500 m),Presidente Kennedy
526,5.7,1561.4,Pequeno (5-10 ha),1.84,"Alongado (1,5 ≤ DI < 2,0)",0.5,155.45,Média conectividade (100-500 m),Presidente Kennedy
527,93.62,7206.48,Médio (10-100 ha),2.1,"Muito alongado (DI ≥ 2,0)",60.33,4.54,Alta conectividade (< 100 m),Presidente Kennedy
528,0.74,534.93,Muito pequeno (< 5 ha),1.75,"Alongado (1,5 ≤ DI < 2,0)",0,107.7,Média conectividade (100-500 m),Presidente Kennedy
529,0.95,392.17,Muito pequeno (< 5 ha),1.14,"Compacto (DI < 1,5)",0,41.55,Alta conectividade (< 100 m),Presidente Kennedy
530,0.83,600.22,Muito pequeno (< 5 ha),1.86,"Alongado (1,5 ≤ DI < 2,0)",0,87.79,Alta conectividade (< 100 m),Presidente Kennedy
531,2.02,719.38,Muito pequeno (< 5 ha),1.43,"Compacto (DI < 1,5)",0,100.25,Média conectividade (100-500 m),Presidente Kennedy
532,3.62,1235.92,Muito pequeno (< 5 ha),1.83,"Alongado (1,5 ≤ DI < 2,0)",0.32,55.79,Alta conectividade (< 100 m),Presidente Kennedy
533,56.7,4559.07,Médio (10-100 ha),1.71,"Alongado (1,5 ≤ DI < 2,0)",35.47,226.43,Média conectividade (100-500 m),Presidente Kennedy
534,0.59,312.66,Muito pequeno (< 5 ha),1.15,"Compacto (DI < 1,5)",0,111.51,Média conectividade (100-500 m),Presidente Kennedy
535,4.3,823.15,Muito pequeno (< 5 ha),1.12,"Compacto (DI < 1,5)",1.01,41.55,Alta conectividade (< 100 m),Presidente Kennedy
536,2.38,768.24,Muito pequeno (< 5 ha),1.4,"Compacto (DI < 1,5)",0,278.51,Média conectividade (100-500 m),Presidente Kennedy
537,3.26,1091.37,Muito pequeno (< 5 ha),1.7,"Alongado (1,5 ≤ DI < 2,0)",0.3,152.08,Média conectividade (100-500 m),Presidente Kennedy
538,0.75,341.75,Muito pequeno (< 5 ha),1.11,"Compacto (DI < 1,5)",0,100.25,Média conectividade (100-500 m),Presidente Kennedy
539,2.38,1033.76,Muito pequeno (< 5 ha),1.89,"Alongado (1,5 ≤ DI < 2,0)",0.04,302.96,Média conectividade (100-500 m),Presidente Kennedy
540,4.16,802.9,Muito pequeno (< 5 ha),1.11,"Compacto (DI < 1,5)",1,262.63,Média conectividade (100-500 m),Presidente Kennedy
541,0.9,445.06,Muito pequeno (< 5 ha),1.32,"Compacto (DI < 1,5)",0,325.99,Média conectividade (100-500 m),Presidente Kennedy
542,14.46,1462.05,Médio (10-100 ha),1.08,"Compacto (DI < 1,5)",8.13,168.77,Média conectividade (100-500 m),Presidente Kennedy
543,0.57,333.09,Muito pequeno (< 5 ha),1.24,"Compacto (DI < 1,5)",0,94.22,Alta conectividade (< 100 m),Presidente Kennedy
544,15.66,3627.69,Médio (10-100 ha),2.59,"Muito alongado (DI ≥ 2,0)",2.89,38.83,Alta conectividade (< 100 m),Presidente Kennedy
545,1.45,631.38,Muito pequeno (< 5 ha),1.48,"Compacto (DI < 1,5)",0,272.32,Média conectividade (100-500 m),Presidente Kennedy
546,0.84,475.34,Muito pequeno (< 5 ha),1.46,"Compacto (DI < 1,5)",0,150.61,Média conectividade (100-500 m),Presidente Kennedy
547,17.65,1933.09,Médio (10-100 ha),1.3,"Compacto (DI < 1,5)",9.21,257.45,Média conectividade (100-500 m),Presidente Kennedy
548,29.03,3642.42,Médio (10-100 ha),1.91,"Alongado (1,5 ≤ DI < 2,0)",12,60.05,Alta conectividade (< 100 m),Presidente Kennedy
549,2.61,908.08,Muito pequeno (< 5 ha),1.59,"Alongado (1,5 ≤ DI < 2,0)",0.01,55.79,Alta conectividade (< 100 m),Presidente Kennedy
550,18.06,1706.66,Médio (10-100 ha),1.13,"Compacto (DI < 1,5)",10.43,91.04,Alta conectividade (< 100 m),Presidente Kennedy
551,7.41,2191.39,Pequeno (5-10 ha),2.27,"Muito alongado (DI ≥ 2,0)",1.2,156.08,Média conectividade (100-500 m),Presidente Kennedy
552,29.42,3694.37,Médio (10-100 ha),1.92,"Alongado (1,5 ≤ DI < 2,0)",13.13,204.15,Média conectividade (100-500 m),Presidente Kennedy
553,0.69,369.19,Muito pequeno (< 5 ha),1.25,"Compacto (DI < 1,5)",0,299.68,Média conectividade (100-500 m),"Atílio Vivácqua,Presidente Kennedy"
554,0.87,440.56,Muito pequeno (< 5 ha),1.33,"Compacto (DI < 1,5)",0,150.61,Média conectividade (100-500 m),Presidente Kennedy
555,12.1,1679.68,Médio (10-100 ha),1.36,"Compacto (DI < 1,5)",4.68,288.78,Média conectividade (100-500 m),Presidente Kennedy
556,2.58,1670.95,Muito pequeno (< 5 ha),2.93,"Muito alongado (DI ≥ 2,0)",0,103.73,Média conectividade (100-500 m),Presidente Kennedy
557,3.72,875.06,Muito pequeno (< 5 ha),1.28,"Compacto (DI < 1,5)",0.51,23.26,Alta conectividade (< 100 m),Presidente Kennedy
558,1.24,618.06,Muito pequeno (< 5 ha),1.57,"Alongado (1,5 ≤ DI < 2,0)",0,26.28,Alta conectividade (< 100 m),Presidente Kennedy
559,1.97,879.76,Muito pequeno (< 5 ha),1.77,"Alongado (1,5 ≤ DI < 2,0)",0,64.43,Alta conectividade (< 100 m),Presidente Kennedy
560,7.89,1627.18,Pequeno (5-10 ha),1.63,"Alongado (1,5 ≤ DI < 2,0)",1.26,25.78,Alta conectividade (< 100 m),Presidente Kennedy
561,1.35,491.08,Muito pequeno (< 5 ha),1.19,"Compacto (DI < 1,5)",0,128.68,Média conectividade (100-500 m),Presidente Kennedy
562,4.68,1677.12,Muito pequeno (< 5 ha),2.19,"Muito alongado (DI ≥ 2,0)",0,26.28,Alta conectividade (< 100 m),Presidente Kennedy
563,6.23,1213.33,Pequeno (5-10 ha),1.37,"Compacto (DI < 1,5)",1.31,166.81,Média conectividade (100-500 m),Presidente Kennedy
564,69.41,8862.24,Médio (10-100 ha),3,"Muito alongado (DI ≥ 2,0)",33.46,65.33,Alta conectividade (< 100 m),"Atílio Vivácqua,Presidente Kennedy"
565,2.39,761.83,Muito pequeno (< 5 ha),1.39,"Compacto (DI < 1,5)",0.02,38.83,Alta conectividade (< 100 m),Presidente Kennedy
566,2.93,1513.47,Muito pequeno (< 5 ha),2.5,"Muito alongado (DI ≥ 2,0)",0,103.73,Média conectividade (100-500 m),Presidente Kennedy
567,6.64,1869.99,Pequeno (5-10 ha),2.05,"Muito alongado (DI ≥ 2,0)",0.15,74.9,Alta conectividade (< 100 m),Presidente Kennedy
568,164.65,10994.63,Grande (100-250 ha),2.42,"Muito alongado (DI ≥ 2,0)",113.85,23.26,Alta conectividade (< 100 m),Presidente Kennedy
569,0.68,473.52,Muito pequeno (< 5 ha),1.62,"Alongado (1,5 ≤ DI < 2,0)",0,25.78,Alta conectividade (< 100 m),Presidente Kennedy
570,1.36,868.12,Muito pequeno (< 5 ha),2.1,"Muito alongado (DI ≥ 2,0)",0,71.23,Alta conectividade (< 100 m),Presidente Kennedy
571,9.65,1362.66,Pequeno (5-10 ha),1.24,"Compacto (DI < 1,5)",3.94,93.17,Alta conectividade (< 100 m),Presidente Kennedy
572,1.41,487.31,Muito pequeno (< 5 ha),1.16,"Compacto (DI < 1,5)",0,204.15,Média conectividade (100-500 m),Presidente Kennedy
573,5.61,930.65,Pequeno (5-10 ha),1.11,"Compacto (DI < 1,5)",1.83,166.81,Média conectividade (100-500 m),Presidente Kennedy
574,0.59,337.03,Muito pequeno (< 5 ha),1.23,"Compacto (DI < 1,5)",0,71.23,Alta conectividade (< 100 m),Presidente Kennedy
575,19.45,1688.1,Médio (10-100 ha),1.08,"Compacto (DI < 1,5)",11.84,60.05,Alta conectividade (< 100 m),Presidente Kennedy
576,1.37,557.3,Muito pequeno (< 5 ha),1.34,"Compacto (DI < 1,5)",0,211.53,Média conectividade (100-500 m),Presidente Kennedy
577,0.52,298.55,Muito pequeno (< 5 ha),1.16,"Compacto (DI < 1,5)",0,93.17,Alta conectividade (< 100 m),Presidente Kennedy
578,2.04,932.33,Muito pequeno (< 5 ha),1.84,"Alongado (1,5 ≤ DI < 2,0)",0,256.44,Média conectividade (100-500 m),Presidente Kennedy
579,1.01,531.18,Muito pequeno (< 5 ha),1.49,"Compacto (DI < 1,5)",0,147.26,Média conectividade (100-500 m),Presidente Kennedy
580,1.53,541.03,Muito pequeno (< 5 ha),1.23,"Compacto (DI < 1,5)",0,180.24,Média conectividade (100-500 m),Presidente Kennedy
581,10.2,1378.74,Médio (10-100 ha),1.22,"Compacto (DI < 1,5)",4.17,33.13,Alta conectividade (< 100 m),Presidente Kennedy
582,1.94,1054.52,Muito pequeno (< 5 ha),2.14,"Muito alongado (DI ≥ 2,0)",0,351.26,Média conectividade (100-500 m),Presidente Kennedy
583,12.48,2044.34,Médio (10-100 ha),1.63,"Alongado (1,5 ≤ DI < 2,0)",3.58,174.01,Média conectividade (100-500 m),Presidente Kennedy
584,1.49,839.74,Muito pequeno (< 5 ha),1.94,"Alongado (1,5 ≤ DI < 2,0)",0,536.37,Baixa conectividade (≥ 500 m),Presidente Kennedy
585,61.73,7318.1,Médio (10-100 ha),2.63,"Muito alongado (DI ≥ 2,0)",30.9,27.3,Alta conectividade (< 100 m),"Mimoso do Sul,Atílio Vivácqua,Presidente Kennedy"
586,96.64,11889.62,Médio (10-100 ha),3.41,"Muito alongado (DI ≥ 2,0)",46.42,14.98,Alta conectividade (< 100 m),Mimoso do Sul
587,3.22,987.14,Muito pequeno (< 5 ha),1.55,"Alongado (1,5 ≤ DI < 2,0)",0.15,16.07,Alta conectividade (< 100 m),Mimoso do Sul
